wayid,num_samples,num_hours_avail
374430628,14,7
515077028,14,8
173985939,14,10
671209219,14,6
675147236,14,10
673376203,14,10
583755498,14,5
668214915,14,6
88376379,14,8
240719594,14,5
87653700,14,8
671408423,13,10
77228569,13,6
565844057,13,10
151066300,13,9
26742751,13,8
153995748,13,8
435095029,13,6
442686515,13,5
103156432,13,10
568922809,13,9
679956718,13,7
671414627,13,7
325928149,13,10
673100764,13,8
27090138,13,4
84629930,13,7
664155574,13,7
25064242,13,6
86402061,13,8
24968610,13,11
129973204,13,10
26843316,13,7
680304503,13,6
87653695,12,7
4775774,12,6
259337233,12,7
673376219,12,8
101201618,12,8
76841203,12,9
674376477,12,9
153995747,12,8
198232539,12,6
101074647,12,5
93667219,12,10
48161141,12,7
97735980,12,9
670743601,12,7
658474426,12,7
100196211,12,7
679178710,12,6
361360704,12,6
668214912,12,6
240719534,12,6
153995752,12,8
95932154,12,8
98043668,12,6
24968806,12,9
676199986,12,7
25064146,12,3
76776748,11,8
